"objectId","objectName","type","Description"
"131670","Christophe 3 Rue du Faubourg du Courreau","marche",""
"Point","Latitude (degrés)","Longitude (degrés)","Altitude (m)","Relèvement (degrés)","Vitesse (m/s)","Durée
"90","43.612754","3.867409","96.6373291015625","88.0","1.5724","2014-04-17T07:05:51.859Z"
"91","43.612733","3.867455","95.90936279296875","91.0","1.4522","2014-04-17T07:05:57.100Z"
"92","43.612706","3.867513","95.13227081298828","140.0","1.3643","2014-04-17T07:06:02.106Z"
"93","43.612645","3.867566","94.51103210449219","139.0","1.3789","2014-04-17T07:06:07.829Z"
"94","43.612636","3.867646","94.12113189697266","98.0","0.0","2014-04-17T07:06:12.832Z"
"95","43.612632","3.867724","93.82186126708984","82.0","0.0","2014-04-17T07:06:17.832Z"
"96","43.613116","3.86839","102.53861999511719","34.0","1.7975","2014-04-17T07:07:02.629Z"
"97","43.613134","3.868445","102.1611328125","75.0","1.5201","2014-04-17T07:07:07.744Z"
"98","43.61316","3.868538","101.6071548461914","62.0","1.394","2014-04-17T07:07:12.853Z"
"99","43.613173","3.868687","100.52118682861328","83.0","1.4134","2014-04-17T07:07:17.926Z"
"100","43.613174","3.868777","99.51603698730469","74.0","0.0","2014-04-17T07:07:23.002Z"
"101","43.613181","3.868878","97.66454315185547","65.0","1.2074","2014-04-17T07:07:28.019Z"
"102","43.613143","3.868914","96.75718688964844","186.0","0.0","2014-04-17T07:07:33.070Z"
"103","43.613755","3.868946","89.83106994628906","77.0","0.0","2014-04-17T07:10:42.738Z"
"104","43.613745","3.868938","89.83935546875","77.0","0.0","2014-04-17T07:10:52.143Z"
"105","43.613719","3.868933","89.77880859375","77.0","0.0","2014-04-17T07:10:57.644Z"
"106","43.613698","3.868943","89.66614532470703","77.0","0.0","2014-04-17T07:11:02.869Z"
"107","43.613694","3.868959","89.58718872070313","77.0","0.0","2014-04-17T07:11:08.946Z"
"108","43.613698","3.868972","89.54041290283203","77.0","0.0","2014-04-17T07:11:14.855Z"
"109","43.613704","3.868981","89.54837036132813","77.0","0.0","2014-04-17T07:11:19.857Z"
"110","43.613704","3.868997","89.63040924072266","77.0","0.0","2014-04-17T07:11:25.921Z"
"111","43.613694","3.868998","89.7102279663086","77.0","0.0","2014-04-17T07:11:31.802Z"
"112","43.613662","3.86899","89.7717514038086","77.0","0.0","2014-04-17T07:11:37.002Z"
"113","43.613634","3.868989","89.83656311035156","77.0","0.0","2014-04-17T07:11:42.446Z"
"114","43.613615","3.868991","89.9075698852539","77.0","0.0","2014-04-17T07:11:46.998Z"
"115","43.613602","3.868989","89.9856948852539","77.0","0.0","2014-04-17T07:11:52.659Z"
"116","43.613593","3.868974","90.05311584472656","77.0","0.0","2014-04-17T07:11:57.812Z"
"117","43.613588","3.868957","90.12092590332031","77.0","0.0","2014-04-17T07:12:08.055Z"
"118","43.613601","3.868946","90.06985473632813","77.0","0.0","2014-04-17T07:12:13.076Z"
"119","43.613619","3.868948","89.97225952148438","77.0","0.0","2014-04-17T07:12:18.099Z"
"120","43.613633","3.868954","89.33753204345703","77.0","0.0","2014-04-17T07:12:39.810Z"
"121","43.613636","3.868942","89.1586685180664","77.0","0.0","2014-04-17T07:12:46.958Z"
"122","43.613633","3.86892","88.9959487915039","77.0","0.0","2014-04-17T07:12:52.069Z"
"123","43.613632","3.868912","88.89822387695313","77.0","0.0","2014-04-17T07:12:57.107Z"
"124","43.613634","3.8689","88.74510955810547","77.0","0.0","2014-04-17T07:13:07.302Z"
"125","43.613633","3.868883","88.69194030761719","77.0","0.0","2014-04-17T07:13:12.335Z"
"126","43.613617","3.868859","88.64021301269531","77.0","0.0","2014-04-17T07:13:17.816Z"
"127","43.613601","3.868861","88.63086700439453","77.0","0.0","2014-04-17T07:13:23.852Z"
"128","43.613611","3.868886","88.64697265625","77.0","0.0","2014-04-17T07:13:29.853Z"
"129","43.613614","3.868912","88.65321350097656","77.0","0.0","2014-04-17T07:13:35.826Z"
"130","43.613624","3.868935","88.63938903808594","77.0","0.0","2014-04-17T07:13:40.843Z"
"131","43.613638","3.868951","88.65103149414063","77.0","0.0","2014-04-17T07:13:45.847Z"
"132","43.613638","3.868951","88.65103149414063","77.0","0.0","2014-04-17T07:13:46.931Z"
"133","43.613654","3.868961","88.64034271240234","77.0","0.0","2014-04-17T07:13:52.002Z"
"134","43.613685","3.868968","88.58598327636719","77.0","0.0","2014-04-17T07:13:57.059Z"
"135","43.6137","3.868971","88.57732391357422","77.0","0.0","2014-04-17T07:14:02.112Z"
"136","43.613711","3.86897","88.60493469238281","77.0","0.0","2014-04-17T07:14:07.158Z"
"137","43.613733","3.868954","88.77023315429688","77.0","0.0","2014-04-17T07:14:17.359Z"
"138","43.613729","3.868934","88.87135314941406","77.0","0.0","2014-04-17T07:14:22.407Z"
"139","43.613713","3.86891","88.9726791381836","77.0","0.0","2014-04-17T07:14:27.611Z"
"140","43.613701","3.868889","89.10107421875","77.0","0.0","2014-04-17T07:14:33.097Z"
"141","43.613683","3.868859","89.17810821533203","77.0","0.0","2014-04-17T07:14:38.831Z"
"142","43.613666","3.868842","89.17814636230469","77.0","0.0","2014-04-17T07:14:43.896Z"
"143","43.613658","3.868835","89.17739868164063","77.0","0.0","2014-04-17T07:14:46.955Z"
"144","43.613636","3.868815","89.1872787475586","77.0","0.0","2014-04-17T07:14:52.008Z"
"145","43.613615","3.868807","89.16513061523438","77.0","0.0","2014-04-17T07:14:57.022Z"
"146","43.613592","3.868816","89.04718780517578","77.0","0.0","2014-04-17T07:15:02.042Z"
"147","43.613577","3.868824","88.92393493652344","77.0","0.0","2014-04-17T07:15:07.091Z"
"148","43.613569","3.868838","88.78351593017578","77.0","0.0","2014-04-17T07:15:12.095Z"
"149","43.613564","3.868866","88.6250991821289","77.0","0.0","2014-04-17T07:15:17.121Z"
"150","43.613551","3.868881","88.19214630126953","77.0","0.0","2014-04-17T07:15:27.585Z"
"151","43.613545","3.86889","87.88580322265625","77.0","0.0","2014-04-17T07:15:32.879Z"
"152","43.613537","3.868891","87.05258178710938","77.0","0.0","2014-04-17T07:15:47.002Z"
"153","43.613525","3.868869","86.77225494384766","77.0","0.0","2014-04-17T07:15:52.132Z"
"154","43.613513","3.868856","86.51659393310547","77.0","0.0","2014-04-17T07:15:57.263Z"
"155","43.613504","3.868842","86.31957244873047","77.0","0.0","2014-04-17T07:16:02.840Z"
"156","43.613508","3.868819","86.1202392578125","77.0","0.0","2014-04-17T07:16:19.139Z"
"157","43.61351","3.868806","86.12581634521484","77.0","0.0","2014-04-17T07:16:24.845Z"
"158","43.61351","3.868806","86.1972427368164","77.0","0.0","2014-04-17T07:16:40.862Z"
"159","43.61352","3.868737","86.55839538574219","77.0","0.0","2014-04-17T07:17:12.862Z"
"160","43.61352","3.868737","87.02738189697266","77.0","0.0","2014-04-17T07:17:34.889Z"
"161","43.613648","3.868864","87.24723815917969","77.0","0.0","2014-04-17T07:17:41.056Z"
"162","43.613709","3.868918","87.39143371582031","77.0","0.0","2014-04-17T07:17:47.132Z"
"163","43.613733","3.868973","87.48194885253906","77.0","0.0","2014-04-17T07:17:52.177Z"
"164","43.613735","3.869021","87.45927429199219","77.0","0.0","2014-04-17T07:17:57.850Z"
"165","43.613734","3.869042","87.41558074951172","77.0","0.0","2014-04-17T07:18:03.318Z"
"166","43.613733","3.869046","87.327880859375","77.0","0.0","2014-04-17T07:18:07.881Z"
"167","43.613741","3.869065","87.8927993774414","77.0","0.0","2014-04-17T07:19:43.003Z"
"168","43.613754","3.869066","87.89939880371094","77.0","0.0","2014-04-17T07:19:47.040Z"
"169","43.613748","3.869073","87.74852752685547","77.0","0.0","2014-04-17T07:20:02.231Z"
